,trackId,frame,xCenter,yCenter
6560,13,960,147.49755,-26.93453
6561,16,960,75.65663,-101.17296999999999
6694,3,990,89.22633,-73.43083
6695,4,990,172.10544,-38.54658
6696,5,990,176.66281999999998,-36.86264
6697,16,990,91.36893,-92.45473
6832,3,1020,89.21982,-73.42723000000001
6833,4,1020,172.10544,-38.54658
6834,5,1020,176.66281999999998,-36.86264
6835,16,1020,106.92754,-84.2442
6836,17,1020,131.6813,-37.594159999999995
6982,3,1050,89.20581,-73.42405
6983,4,1050,172.10544,-38.54658
6984,5,1050,176.66281999999998,-36.86264
6985,16,1050,122.24032,-76.44329
6986,17,1050,130.4862,-44.025259999999996
7134,3,1080,88.82072,-73.63839
7135,4,1080,172.10544,-38.54658
7136,5,1080,176.66281999999998,-36.86264
7137,16,1080,137.53745,-69.06362
7138,17,1080,129.48462,-47.32284
7139,18,1080,175.24562,-42.34592
7322,3,1110,87.58223000000001,-74.38408000000001
7323,4,1110,172.10544,-38.54658
7324,5,1110,176.66281999999998,-36.86264
7325,16,1110,153.14441000000002,-61.956959999999995
7326,17,1110,129.20654,-48.35083
7327,18,1110,155.60439,-50.12666
7328,19,1110,132.01242,-30.3514
7552,4,1140,172.10544,-38.54658
7553,5,1140,176.66281999999998,-36.86264
7554,16,1140,169.25752,-55.210719999999995
7555,17,1140,129.1943,-48.53282
7556,18,1140,136.10513,-58.474819999999994
7557,19,1140,131.48468,-34.64454
7558,20,1140,163.28918000000002,-45.96181
7741,4,1170,172.10544,-38.54658
7742,5,1170,176.66281999999998,-36.86264
7743,17,1170,129.17498999999998,-48.53083
7744,18,1170,116.88973,-67.34065
7745,19,1170,131.268,-36.48842
7746,20,1170,144.61616999999998,-53.76903000000001
7921,4,1200,172.10544,-38.54658
7922,5,1200,176.66281999999998,-36.86264
7923,17,1200,129.02584,-49.02984
7924,18,1200,98.19702,-77.12283000000001
7925,19,1200,131.19246,-37.12713
7926,20,1200,126.48767,-61.7706
8101,4,1230,172.10544,-38.54658
8102,5,1230,176.66281999999998,-36.86264
8103,17,1230,128.20561,-51.01957
8104,18,1230,80.11019,-88.24639
8105,19,1230,131.13608,-37.6333
8106,20,1230,109.40871000000001,-69.32153000000001
8281,4,1260,172.10544,-38.54658
8282,5,1260,176.66281999999998,-36.86264
8283,17,1260,126.44712,-54.37464
8284,18,1260,62.221180000000004,-100.03063
8285,19,1260,130.94123000000002,-39.06599
8286,20,1260,95.19637,-75.77297
8434,4,1290,172.10544,-38.54658
8435,5,1290,176.66281999999998,-36.86264
8436,17,1290,123.03584,-58.751090000000005
8437,19,1290,130.45823000000001,-42.80441
8438,20,1290,83.74718,-81.24506
8584,4,1320,172.10544,-38.54658
8585,5,1320,176.66281999999998,-36.86264
8586,17,1320,117.95697,-63.55798000000001
8587,19,1320,129.81011,-46.98675
8588,20,1320,73.87974,-86.37814
8734,4,1350,172.10544,-38.54658
8735,5,1350,176.66281999999998,-36.86264
8736,17,1350,111.19055,-68.46046
8737,19,1350,129.02702,-50.39997
8738,20,1350,64.20614,-91.59929
8876,4,1380,172.10544,-38.54658
8877,5,1380,176.66281999999998,-36.86264
8878,17,1380,102.74644,-73.54356999999999
8879,19,1380,128.08521000000002,-53.11707
8996,4,1410,172.10544,-38.54658
8997,5,1410,176.66281999999998,-36.86264
8998,17,1410,92.66104,-79.33559
8999,19,1410,125.21571999999999,-57.718019999999996
9116,4,1440,172.10544,-38.54658
9117,5,1440,176.66281999999998,-36.86264
9118,17,1440,81.37727,-85.8602
9119,19,1440,118.66503,-62.477630000000005
9247,4,1470,172.10544,-38.54658
9248,5,1470,176.66281999999998,-36.86264
9249,17,1470,68.98994,-93.14616
9250,19,1470,108.92687,-67.17112
9251,21,1470,71.05496,-103.533
9381,4,1500,172.10544,-38.54658
9382,5,1500,176.66281999999998,-36.86264
9383,19,1500,96.95188,-73.17468000000001
9384,21,1500,90.34939,-92.6868
9507,4,1530,172.10544,-38.54658
9508,5,1530,176.66281999999998,-36.86264
9509,19,1530,84.23352,-79.93526999999999
9510,21,1530,109.80231,-82.36121
9511,22,1530,172.49452,-43.37429
9657,4,1560,172.10544,-38.54658
9658,5,1560,176.66281999999998,-36.86264
9659,19,1560,71.22012,-87.47081
9660,21,1560,129.32536000000002,-72.75603000000001
9661,22,1560,153.25465,-51.07639
9807,4,1590,172.10544,-38.54658
9808,5,1590,176.66281999999998,-36.86264
9809,19,1590,57.878,-96.38709
9810,21,1590,148.70362,-64.01196999999999
9811,22,1590,134.31381000000002,-59.209480000000006
9928,4,1620,172.10544,-38.54658
9929,5,1620,176.66281999999998,-36.86264
9930,21,1620,167.68595,-56.02097
9931,22,1620,115.79661000000002,-67.71067
10027,4,1650,172.10544,-38.54658
10028,5,1650,176.66281999999998,-36.86264
10029,22,1650,97.6614,-76.91133
10117,4,1680,172.10544,-38.54658
10118,5,1680,176.66281999999998,-36.86264
10119,22,1680,79.70858,-86.80123
10215,4,1710,172.10544,-38.54658
10216,5,1710,176.66281999999998,-36.86264
10217,22,1710,62.04778,-97.20743
10218,23,1710,172.9279,-42.917159999999996
10310,4,1740,172.10544,-38.54658
10311,5,1740,176.66281999999998,-36.86264
10312,23,1740,156.56123,-49.29405
10404,4,1770,172.10544,-38.54658
10405,5,1770,176.66281999999998,-36.86264
10406,23,1770,140.22908999999999,-56.37839
10407,24,1770,174.23917,-41.957209999999996
10525,4,1800,172.10544,-38.54658
10526,5,1800,176.66281999999998,-36.86264
10527,23,1800,123.8535,-63.90011
10528,24,1800,156.86476000000002,-48.11087
10529,25,1800,132.11097,-29.3426
10675,4,1830,172.10544,-38.54658
10676,5,1830,176.66281999999998,-36.86264
10677,23,1830,107.63986000000001,-72.03084
10678,24,1830,139.36968000000002,-54.814080000000004
10679,25,1830,130.90276,-39.406290000000006
10825,4,1860,172.10544,-38.54658
10826,5,1860,176.66281999999998,-36.86264
10827,23,1860,91.89178000000001,-81.07049
10828,24,1860,121.59256,-62.3052
10829,25,1860,129.51412,-47.04466
10975,4,1890,172.10544,-38.54658
10976,5,1890,176.66281999999998,-36.86264
10977,23,1890,76.7013,-90.71918000000001
10978,24,1890,103.58988000000001,-70.57496
10979,25,1890,127.22736,-53.29387
11125,4,1920,172.10544,-38.54658
11126,5,1920,176.66281999999998,-36.86264
11127,23,1920,61.78399,-100.35279
11128,24,1920,86.18545999999999,-79.80843
11129,25,1920,122.97271,-59.5599
11249,4,1950,172.10544,-38.54658
11250,5,1950,176.66281999999998,-36.86264
11251,24,1950,69.51386,-89.83645
11252,25,1950,115.72825,-66.2871
11361,4,1980,172.10544,-38.54658
11362,5,1980,176.66281999999998,-36.86264
11363,25,1980,105.3841,-73.30951
11451,4,2010,172.10544,-38.54658
11452,5,2010,176.66281999999998,-36.86264
11453,25,2010,92.22039000000001,-80.5297
11541,4,2040,172.10544,-38.54658
11542,5,2040,176.66281999999998,-36.86264
11543,25,2040,76.99150999999999,-88.76164
11647,4,2070,172.10544,-38.54658
11648,5,2070,176.66281999999998,-36.86264
11649,25,2070,60.49997,-98.27767
11650,26,2070,171.59591,-34.46201
11651,27,2070,176.83575,-41.861909999999995
11784,4,2100,172.10544,-38.54658
11785,5,2100,176.66281999999998,-36.86264
11786,26,2100,164.38395,-36.58274
11787,27,2100,162.09214,-47.62578
11788,28,2100,72.10578000000001,-103.04247
11955,4,2130,172.10544,-38.54658
11956,5,2130,176.66281999999998,-36.86264
11957,26,2130,159.82765,-37.64608
11958,27,2130,145.41258,-53.64533
11959,28,2130,88.6978,-93.73416
11960,29,2130,166.9616,-45.94618
12135,4,2160,172.10544,-38.54658
12136,5,2160,176.66281999999998,-36.86264
12137,26,2160,157.51773,-38.13225
12138,27,2160,127.09437,-60.678180000000005
12139,28,2160,105.52701,-84.91558
12140,29,2160,152.35413,-51.75403
12315,4,2190,172.10544,-38.54658
12316,5,2190,176.66281999999998,-36.86264
12317,26,2190,153.63853,-38.3995
12318,27,2190,107.94131999999999,-69.32103000000001
12319,28,2190,122.29901000000001,-76.58579
12320,29,2190,137.40496000000002,-57.97603
12495,4,2220,172.10544,-38.54658
12496,5,2220,176.66281999999998,-36.86264
12497,26,2220,148.6797,-39.37251
12498,27,2220,88.53806,-79.28851999999999
12499,28,2220,139.05545,-68.71519
12500,29,2220,122.36748,-64.7639
12675,4,2250,172.10544,-38.54658
12676,5,2250,176.66281999999998,-36.86264
12677,26,2250,143.0588,-41.026270000000004
12678,27,2250,68.80751,-90.5214
12679,28,2250,155.84333,-61.285030000000006
12680,29,2250,107.30537,-72.088
12842,4,2280,172.10544,-38.54658
12843,5,2280,176.66281999999998,-36.86264
12844,26,2280,137.12299,-42.88575
12845,28,2280,172.54713,-54.24969
12846,29,2280,92.10975,-79.84155
12981,4,2310,172.10544,-38.54658
12982,5,2310,176.66281999999998,-36.86264
12983,26,2310,131.34678,-45.10452
12984,29,2310,76.97291,-88.21253
12985,30,2310,69.23673000000001,-110.8635
13131,4,2340,172.10544,-38.54658
13132,5,2340,176.66281999999998,-36.86264
13133,26,2340,125.65149,-48.04634
13134,29,2340,61.944269999999996,-97.06059
13135,30,2340,76.08448,-107.91462
13257,4,2370,172.10544,-38.54658
13258,5,2370,176.66281999999998,-36.86264
13259,26,2370,119.82618000000001,-51.64537
13260,30,2370,83.30559000000001,-104.79215
13383,4,2400,172.10544,-38.54658
13384,5,2400,176.66281999999998,-36.86264
13385,26,2400,113.53493999999999,-55.118930000000006
13386,30,2400,90.25910999999999,-101.48121
13387,31,2400,133.12613000000002,-24.59271
13533,4,2430,172.10544,-38.54658
13534,5,2430,176.66281999999998,-36.86264
13535,26,2430,106.59568,-58.427040000000005
13536,30,2430,97.20701,-97.93111
13537,31,2430,132.28231,-32.82792
13683,4,2460,172.10544,-38.54658
13684,5,2460,176.66281999999998,-36.86264
13685,26,2460,99.52683,-61.891830000000006
13686,30,2460,103.93811,-94.26037
13687,31,2460,131.51841000000002,-39.813159999999996
13843,4,2490,172.10544,-38.54658
13844,5,2490,176.66281999999998,-36.86264
13845,26,2490,92.38088,-65.70391
13846,30,2490,110.66978999999999,-90.66178000000001
13847,31,2490,130.63891,-45.73158
13848,32,2490,73.18895,-98.13506
14023,4,2520,172.10544,-38.54658
14024,5,2520,176.66281999999998,-36.86264
14025,26,2520,85.17707,-69.81915
14026,30,2520,116.75725,-87.68444000000001
14027,31,2520,129.47727,-50.70624
14028,32,2520,87.88741,-89.9702
14203,4,2550,172.10544,-38.54658
14204,5,2550,176.66281999999998,-36.86264
14205,26,2550,78.03308,-74.397
14206,30,2550,121.07467,-85.67425
14207,31,2550,128.25207,-53.97525
14208,32,2550,101.52485,-83.03177
14383,4,2580,172.10544,-38.54658
14384,5,2580,176.66281999999998,-36.86264
14385,26,2580,71.00326,-79.34011
14386,30,2580,123.90008,-84.08256
14387,31,2580,126.51733999999999,-56.58676
14388,32,2580,112.89835,-77.42173000000001
14566,4,2610,172.10544,-38.54658
14567,5,2610,176.66281999999998,-36.86264
14568,26,2610,64.11868,-84.3905
14569,30,2610,125.9492,-81.95382
14570,31,2610,122.73926999999999,-59.957840000000004
14571,32,2610,121.68343999999999,-72.85938
14572,33,2610,174.79276000000002,-42.77471
14776,4,2640,172.10544,-38.54658
14777,5,2640,176.66281999999998,-36.86264
14778,26,2640,57.09145,-89.58915
14779,30,2640,126.75908000000001,-80.04602
14780,31,2640,116.39421999999999,-63.75753
14781,32,2640,127.51047,-69.50941
14782,33,2640,156.93077,-49.83395
14979,4,2670,172.10544,-38.54658
14980,5,2670,176.66281999999998,-36.86264
14981,30,2670,126.52842,-77.4501
14982,31,2670,107.96585,-67.93127
14983,32,2670,131.53569,-66.97895
14984,33,2670,139.21568,-57.39379
15159,4,2700,172.10544,-38.54658
15160,5,2700,176.66281999999998,-36.86264
15161,30,2700,125.46273000000001,-74.3391
15162,31,2700,97.81897,-72.89664
15163,32,2700,135.55275,-63.97447
15164,33,2700,121.6787,-65.42622
15339,4,2730,172.10544,-38.54658
15340,5,2730,176.66281999999998,-36.86264
15341,30,2730,124.63546000000001,-71.62891
15342,31,2730,86.46126,-79.00282
15343,32,2730,139.72926999999999,-59.32808000000001
15344,33,2730,104.29334,-73.97541
15519,4,2760,172.10544,-38.54658
15520,5,2760,176.66281999999998,-36.86264
15521,30,2760,124.02256000000001,-69.04926
15522,31,2760,74.67374000000001,-85.64365
15523,32,2760,143.41251,-52.29701
15524,33,2760,86.74722,-83.3597
15699,4,2790,172.10544,-38.54658
15700,5,2790,176.66281999999998,-36.86264
15701,30,2790,123.2686,-65.54505999999999
15702,31,2790,62.85805,-92.46976
15703,32,2790,145.4386,-43.343
15704,33,2790,68.98234000000001,-93.46753000000001
15869,4,2820,172.10544,-38.54658
15870,5,2820,176.66281999999998,-36.86264
15871,30,2820,122.98624,-61.485119999999995
15872,32,2820,146.04673,-32.91956
15873,34,2820,132.08185,-22.37489
15874,35,2820,131.5006,-21.16767
16041,4,2850,172.10544,-38.54658
16042,5,2850,176.66281999999998,-36.86264
16043,30,2850,123.60673999999999,-56.953469999999996
16044,34,2850,131.57757,-26.42578
16045,35,2850,131.11856,-24.96898
16210,4,2880,172.10544,-38.54658
16211,5,2880,176.66281999999998,-36.86264
16212,30,2880,125.16089,-52.242059999999995
16213,34,2880,130.95032,-30.6646
16214,35,2880,130.65209,-28.91747
16215,36,2880,76.11899,-100.91967
16399,4,2910,172.10544,-38.54658
16400,5,2910,176.66281999999998,-36.86264
16401,30,2910,125.88148000000001,-47.48409
16402,34,2910,130.42872,-35.00847
16403,35,2910,130.07612,-33.07887
16404,36,2910,94.88071,-90.53407
16405,37,2910,172.15483,-43.39615
16609,4,2940,172.10544,-38.54658
16610,5,2940,176.66281999999998,-36.86264
16611,30,2940,126.38156000000001,-42.436209999999996
16612,34,2940,130.00373000000002,-39.24452
16613,35,2940,129.7307,-37.33461
16614,36,2940,113.25353,-80.88667
16615,37,2940,155.26567,-50.1115
16842,4,2970,172.10544,-38.54658
16843,5,2970,176.66281999999998,-36.86264
16844,30,2970,127.67858000000001,-37.30893
16845,34,2970,128.79155,-43.30636
16846,35,2970,129.09232,-41.602509999999995
16847,36,2970,131.26854,-72.06436
16848,37,2970,137.53438,-57.780969999999996
16849,38,2970,165.9274,-45.69399
17082,4,3000,172.10544,-38.54658
17083,5,3000,176.66281999999998,-36.86264
17084,30,3000,128.93202,-31.72397
17085,34,3000,126.31651000000001,-46.94055
17086,35,3000,127.05041000000001,-45.08213
17087,36,3000,149.56017,-63.75424
17088,37,3000,119.23008,-66.28492
17089,38,3000,151.03335,-51.19786
17090,39,3000,63.12263000000001,-104.32174
17364,4,3030,172.10544,-38.54658
17365,5,3030,176.66281999999998,-36.86264
17366,30,3030,129.79511000000002,-25.68339
17367,34,3030,123.20483,-49.91968
17368,35,3030,123.86836000000001,-47.98928
17369,36,3030,168.09435,-55.91295
17370,37,3030,100.59983000000001,-75.53653
17371,38,3030,135.59873000000002,-57.071369999999995
17372,39,3030,81.23446,-93.89832
17373,40,3030,70.43108000000001,-104.57876
17634,4,3060,172.10544,-38.54658
17635,5,3060,176.66281999999998,-36.86264
17636,34,3060,119.61045,-52.42057
17637,35,3060,120.09013,-50.87494
17638,37,3060,81.90521,-85.50678
17639,38,3060,119.74036000000001,-63.43161
17640,39,3060,97.89005999999999,-84.92081999999999
17641,40,3060,86.84053,-95.12673000000001
17642,41,3060,50.512209999999996,-92.46162
17926,4,3090,172.10544,-38.54658
17927,5,3090,176.66281999999998,-36.86264
17928,34,3090,115.89092,-54.78795
17929,35,3090,116.22708,-53.43383000000001
17930,37,3090,63.455180000000006,-95.91919
17931,38,3090,103.6079,-70.61131
17932,39,3090,112.54811000000001,-77.55679
17933,40,3090,103.42604,-86.37066
17934,41,3090,52.42828,-91.25414
17935,42,3090,77.69683,-99.80774
18223,4,3120,172.10544,-38.54658
18224,5,3120,176.66281999999998,-36.86264
18225,34,3120,112.03633,-56.793490000000006
18226,35,3120,112.06421999999999,-55.80819
18227,38,3120,87.38439,-78.70940999999999
18228,39,3120,124.47873999999999,-71.31316
18229,40,3120,119.97503999999999,-78.06483
18230,41,3120,54.36705,-90.23657
18231,42,3120,93.96964,-90.80892
18232,43,3120,74.52948,-101.96601
18548,4,3150,172.10544,-38.54658
18549,5,3150,176.66281999999998,-36.86264
18550,34,3150,107.72719,-58.81945
18551,35,3150,107.83606999999999,-57.75173
18552,38,3150,71.16617,-87.8413
18553,39,3150,133.64834,-64.01575
18554,40,3150,136.45065,-70.22036999999999
18555,41,3150,56.136880000000005,-89.08983
18556,42,3150,109.69296999999999,-82.60823
18557,43,3150,91.42856,-92.64285
18558,44,3150,76.41164,-100.69098000000001
18559,45,3150,63.13154,-104.91872
18904,4,3180,172.10544,-38.54658
18905,5,3180,176.66281999999998,-36.86264
18906,34,3180,103.20813000000001,-60.94707
18907,35,3180,103.47428000000001,-59.82649
18908,39,3180,140.21886,-55.01086
18909,40,3180,152.8716,-62.647369999999995
18910,41,3180,57.7182,-87.70124
18911,42,3180,125.25261,-74.84391
18912,43,3180,108.20778,-83.69681
18913,44,3180,92.19836,-91.89572
18914,45,3180,78.75496,-95.95079
19234,4,3210,172.10544,-38.54658
19235,5,3210,176.66281999999998,-36.86264
19236,34,3210,98.74422,-63.11871
19237,35,3210,98.89968,-62.14451999999999
19238,39,3210,143.91938000000002,-44.536570000000005
19239,40,3210,169.22727,-55.34901
19240,41,3210,59.51433000000001,-86.31055
19241,42,3210,141.16353999999998,-67.27096999999999
19242,43,3210,124.62228,-75.31299
19243,44,3210,108.39886000000001,-83.39787
19244,45,3210,93.97041,-87.67706
19542,4,3240,172.10544,-38.54658
19543,5,3240,176.66281999999998,-36.86264
19544,34,3240,94.15306,-65.38958000000001
19545,35,3240,94.21951999999999,-64.43204
19546,39,3240,145.37784,-33.18885
19547,41,3240,61.556940000000004,-85.06719
19548,42,3240,157.52847,-59.90178
19549,43,3240,140.65849,-67.60776
19550,44,3240,124.52071000000001,-75.4487
19551,45,3240,108.12583000000001,-80.32454
19840,4,3270,172.10544,-38.54658
19841,5,3270,176.66281999999998,-36.86264
19842,34,3270,89.59948,-67.73761999999999
19843,35,3270,89.6139,-66.82925
19844,39,3270,146.02444,-20.93457
19845,41,3270,63.39249,-83.79355
19846,43,3270,156.56777,-60.437090000000005
19847,44,3270,140.37201000000002,-68.11801
19848,45,3270,119.99035,-74.25046999999999
20115,4,3300,172.10544,-38.54658
20116,5,3300,176.66281999999998,-36.86264
20117,34,3300,85.20546,-70.20211
20118,35,3300,85.13591,-69.37116999999999
20119,41,3300,65.02989000000001,-82.38639
20120,43,3300,172.39203999999998,-53.84401
20121,44,3300,155.93309,-61.33761
20122,45,3300,128.54031,-69.6844
20123,46,3300,73.51485,-98.77722
20124,47,3300,68.4219,-105.66354
20387,4,3330,172.10544,-38.54658
20388,5,3330,176.66281999999998,-36.86264
20389,34,3330,80.64365,-72.98324000000001
20390,35,3330,80.75605999999999,-72.01566
20391,41,3330,66.6315,-80.96781999999999
20392,44,3330,171.32052,-54.888180000000006
20393,45,3330,132.01407,-65.42915
20394,46,3330,88.22091999999999,-90.60016
20395,47,3330,83.87485,-97.03515
20631,4,3360,172.10544,-38.54658
20632,5,3360,176.66281999999998,-36.86264
